Node,Community
0,1
1,13
2,5
3,10
4,5
5,7
6,2
7,9
8,10
9,9
10,3
11,11
12,11
13,1
14,15
15,8
16,10
17,0
18,5
19,12
20,2
21,0
22,0
23,20
24,7
25,1
26,17
27,18
28,21
29,11
30,16
31,0
32,20
33,2
34,1
35,13
36,2
37,4
38,17
39,8
40,16
41,0
42,15
43,1
44,11
45,2
46,15
47,9
48,4
49,0
50,6
51,10
52,19
53,7
54,17
55,0
56,0
57,2
58,17
59,14
60,14
61,5
62,2
63,1
64,0
65,8
66,2
67,6
68,9
69,16
70,9
71,6
72,4
73,6
74,3
75,1
76,15
77,8
78,11
79,10
80,15
81,4
82,2
83,14
84,13
85,7
86,16
87,16
88,1
89,16
90,3
91,3
92,1
93,14
94,4
95,4
96,12
97,6
98,17
99,3
100,20
101,11
102,5
103,3
104,4
105,0
106,10
107,4
108,9
109,5
110,16
111,3
112,4
113,9
114,6
115,2
116,4
117,2
118,8
119,8
120,14
121,8
122,13
123,1
124,14
125,6
126,16
127,9
128,17
129,13
130,2
131,5
132,2
133,2
134,7
135,7
136,6
137,9
138,6
139,5
140,8
141,4
142,3
143,9
144,7
145,5
146,14
147,8
148,17
149,19
150,1
151,0
152,8
153,2
154,1
155,1
156,13
157,5
158,12
159,10
160,9
161,14
162,19
163,3
164,14
165,4
166,0
167,17
168,17
169,5
170,0
171,0
172,13
173,9
174,12
175,9
176,7
177,6
178,20
179,2
180,3
181,3
182,0
183,0
184,1
185,9
186,4
187,11
188,5
189,12
190,7
191,18
192,12
193,3
194,5
195,2
196,0
197,3
198,0
199,21
200,22
201,0
202,4
203,8
204,1
205,2
206,11
207,8
208,20
209,1
210,1
211,13
212,8
213,2
214,3
215,1
216,2
217,4
218,7
219,0
220,2
221,2
222,2
223,8
224,2
225,7
226,1
227,7
228,13
229,14
230,14
231,6
232,18
233,2
234,18
235,8
236,11
237,1
238,19
239,18
240,1
241,0
242,10
243,4
244,3
245,5
246,0
247,8
248,10
249,7
250,15
251,4
252,15
253,7
254,1
255,10
256,11
257,3
258,17
259,8
260,11
261,3
262,11
263,19
264,4
265,5
266,17
267,12
268,0
269,8
270,16
271,2
272,5
273,4
274,19
275,19
276,19
277,6
278,17
279,10
280,3
281,3
282,4
283,1
284,3
285,13
286,15
287,21
288,3
289,9
290,9
291,5
292,12
293,16
294,0
295,12
296,21
297,15
298,3
299,10
300,15
301,2
302,2
303,4
304,10
305,17
306,4
307,13
308,17
309,10
310,12
311,10
312,20
313,1
314,9
315,0
316,12
317,12
318,20
319,5
320,15
321,9
322,18
323,6
324,11
325,13
326,9
327,5
328,0
329,5
330,15
331,5
332,7
333,0
334,1
335,6
336,11
337,1
338,1
339,8
340,1
341,5
342,11
343,18
344,0
345,18
346,6
347,9
348,8
349,21
350,20
351,4
352,1
353,10
354,0
355,1
356,12
357,1
358,3
359,7
360,9
361,6
362,9
363,2
364,14
365,7
366,10
367,14
368,3
369,8
370,18
371,1
372,5
373,6
374,0
375,15
376,20
377,0
378,6
379,16
380,2
381,0
382,14
383,1
384,8
385,0
