Node,Community
0,26
1,0
2,22
3,7
4,0
5,2
6,22
7,25
8,6
9,8
10,17
11,16
12,8
13,26
14,0
15,0
16,0
17,22
18,8
19,22
20,0
21,22
22,4
23,1
24,8
25,15
26,25
27,15
28,0
29,0
30,26
31,18
32,24
33,22
34,17
35,1
36,1
37,11
38,0
39,0
40,18
41,24
42,0
43,3
44,25
45,11
46,17
47,25
48,2
49,0
50,0
51,16
52,2
53,0
54,18
55,8
56,7
57,2
58,16
59,16
60,14
61,12
62,18
63,22
64,17
65,24
66,22
67,8
68,18
69,16
70,7
71,16
72,18
73,18
74,17
75,23
76,1
77,1
78,24
79,7
80,19
81,7
82,2
83,7
84,4
85,5
86,4
87,0
88,16
89,25
90,23
91,2
92,8
93,1
94,18
95,2
96,0
97,25
98,14
99,2
100,17
101,4
102,23
103,18
104,17
105,23
106,23
107,1
108,17
109,17
110,25
111,19
112,24
113,2
114,4
115,0
116,6
117,6
118,25
119,24
120,25
121,4
122,14
123,8
124,24
125,7
126,8
127,25
128,1
129,24
130,2
131,8
132,8
133,8
134,16
135,17
136,3
137,18
138,24
139,23
140,2
141,1
142,25
143,14
144,11
145,25
146,11
147,8
148,24
149,0
150,24
151,11
152,14
153,8
154,23
155,17
156,6
157,24
158,3
159,19
160,4
161,15
162,11
163,26
164,24
165,8
166,5
167,26
168,25
169,24
170,0
171,12
172,2
173,8
174,26
175,1
176,23
177,11
178,0
179,11
180,6
181,11
182,8
183,0
184,0
185,14
186,8
187,18
188,26
189,0
190,23
191,7
192,12
193,4
194,14
195,23
196,0
197,0
198,14
199,24
200,0
201,7
202,4
203,23
204,14
205,19
206,7
207,23
208,0
209,15
210,15
211,11
212,5
213,24
214,11
215,8
216,17
217,24
218,23
219,18
220,6
221,26
222,26
223,24
224,14
225,11
226,8
227,8
228,24
229,8
230,1
231,12
232,24
233,15
234,0
235,4
236,1
237,15
238,8
239,0
240,1
241,14
242,8
243,17
244,5
245,14
246,26
247,4
248,18
249,24
250,1
251,1
252,2
253,2
254,15
255,26
256,16
257,18
258,16
259,1
260,24
261,18
262,25
263,4
264,17
265,16
266,8
267,23
268,15
269,7
270,0
271,1
272,12
273,2
274,22
275,16
276,24
277,22
278,0
279,2
280,11
281,4
282,26
283,0
284,4
285,15
286,24
287,24
288,18
289,0
290,24
291,24
292,6
293,12
294,8
295,1
296,4
297,2
298,8
299,12
300,18
301,25
302,26
303,26
304,25
305,0
306,15
307,18
308,0
309,14
310,23
311,18
312,19
313,18
314,25
315,0
316,23
317,12
318,2
319,24
320,24
321,3
322,2
323,7
324,12
325,16
326,0
327,6
328,12
329,8
330,11
331,0
332,23
333,8
334,16
335,26
336,17
337,0
338,1
339,2
340,26
341,25
342,26
343,24
344,25
345,24
346,7
347,22
348,8
349,25
350,23
351,2
352,0
353,2
354,23
355,8
356,23
357,8
358,7
359,23
360,18
361,8
362,24
363,25
364,16
365,8
366,8
367,2
368,12
369,24
370,19
371,19
372,22
373,25
374,12
375,4
376,6
377,14
378,11
379,6
380,4
381,23
382,4
383,8
384,15
385,2
386,8
387,3
388,7
389,19
390,24
391,5
392,0
393,8
394,25
395,7
396,14
397,14
398,14
399,26
400,11
401,11
402,4
403,22
404,5
405,5
406,0
407,23
408,24
409,14
410,24
411,15
412,14
413,26
414,2
415,11
416,26
417,23
418,4
419,22
420,0
421,25
422,8
423,24
424,23
425,8
426,0
427,26
428,19
429,12
430,2
431,8
432,4
433,8
434,23
435,26
436,18
437,22
438,12
439,19
440,26
441,14
442,0
443,26
444,11
445,1
446,24
447,25
448,16
449,5
450,0
451,12
452,2
453,7
454,26
455,11
456,4
457,19
458,6
459,23
460,14
461,26
462,24
463,17
464,5
465,0
466,24
467,24
468,26
469,12
470,16
471,23
472,0
473,26
474,22
475,0
476,0
477,12
478,0
479,26
480,4
481,23
482,23
483,11
484,18
485,0
486,8
487,2
488,25
489,14
490,8
491,25
492,23
493,12
494,11
495,7
496,12
497,7
498,7
499,19
500,2
501,23
502,2
503,24
504,24
505,0
506,8
507,26
508,11
509,23
510,5
511,26
512,12
513,19
514,0
515,1
516,15
517,0
518,26
519,17
520,2
521,3
522,0
523,0
524,17
525,25
526,18
527,1
528,24
529,14
530,12
531,26
532,23
533,23
534,22
535,2
536,25
537,7
538,7
539,1
540,26
541,8
542,17
543,23
544,0
545,0
546,19
547,19
548,1
549,7
550,4
551,24
552,2
553,16
554,17
555,11
556,2
557,24
558,16
559,14
560,4
561,22
562,14
563,3
564,0
565,19
566,16
567,16
568,12
569,18
570,3
571,24
572,18
573,22
574,16
575,8
576,14
577,17
578,19
579,18
580,18
581,1
582,26
583,8
584,23
585,14
586,3
587,1
588,26
589,16
590,18
591,5
592,22
593,24
594,23
595,17
596,14
597,2
598,8
599,22
600,11
601,2
602,17
603,25
604,23
605,7
606,23
607,24
608,24
609,24
610,15
611,0
612,5
613,24
614,7
615,24
616,8
617,23
618,14
619,14
620,0
621,0
622,0
623,19
624,24
625,0
626,17
627,14
628,19
629,5
630,8
631,11
632,26
633,1
634,24
635,18
636,6
637,5
638,17
639,26
640,18
641,1
642,12
643,26
644,12
645,8
646,0
647,0
648,24
649,24
650,17
651,24
652,23
653,1
654,19
655,18
656,8
657,8
658,0
659,12
660,16
661,23
662,25
663,19
664,25
665,4
666,23
667,2
668,18
669,1
670,24
671,8
672,17
673,23
674,8
675,26
676,24
677,12
678,9
679,1
680,23
681,23
682,26
683,24
684,8
685,23
686,26
687,5
688,8
689,5
690,8
691,5
692,8
693,8
694,7
695,6
696,0
697,8
698,24
699,22
700,11
701,0
702,24
703,0
704,26
705,11
706,7
707,0
708,0
709,2
710,2
711,15
712,11
713,5
714,26
715,18
716,26
717,0
718,8
719,19
720,4
721,7
722,16
723,17
724,1
725,19
726,26
727,5
728,17
729,8
730,3
731,3
732,8
733,8
734,7
735,24
736,17
737,11
738,5
739,0
740,0
741,4
742,8
743,0
744,8
745,14
746,23
747,19
748,11
749,16
750,7
751,24
752,2
753,26
754,14
755,4
756,12
757,15
758,8
759,16
760,4
761,17
762,26
763,26
764,0
765,8
766,23
767,1
768,8
769,24
770,15
771,8
772,8
773,10
774,26
775,26
776,0
777,4
778,18
779,19
780,17
781,24
782,0
783,6
784,26
785,11
786,14
787,25
788,7
789,26
790,7
791,24
792,2
793,17
794,8
795,7
796,7
797,4
798,15
799,2
800,4
801,24
802,14
803,2
804,24
805,24
806,24
807,17
808,4
809,5
810,19
811,11
812,22
813,17
814,2
815,23
816,7
817,4
818,25
819,2
820,0
821,14
822,18
823,8
824,26
825,4
826,26
827,17
828,18
829,0
830,18
831,16
832,17
833,23
834,8
835,6
836,1
837,8
838,1
839,12
840,16
841,3
842,19
843,5
844,25
845,2
846,11
847,18
848,8
849,26
850,23
851,24
852,7
853,23
854,14
855,24
856,11
857,0
858,0
859,0
860,0
861,19
862,2
863,8
864,8
865,23
866,7
867,23
868,0
869,16
870,26
871,19
872,26
873,24
874,8
875,8
876,7
877,8
878,25
879,6
880,4
881,15
882,16
883,24
884,8
885,3
886,3
887,12
888,4
889,23
890,12
891,24
892,18
893,0
894,7
895,26
896,14
897,8
898,3
899,4
900,11
901,0
902,14
903,11
904,17
905,23
906,24
907,2
908,8
909,1
910,22
911,17
912,5
913,24
914,0
915,23
916,14
917,22
918,26
919,12
920,22
921,23
922,2
923,0
924,23
925,8
926,0
927,16
928,17
929,11
930,2
931,0
932,2
933,7
934,14
935,24
936,26
937,2
938,24
939,5
940,22
941,2
942,14
943,19
944,0
945,23
946,8
947,25
948,12
949,1
950,2
951,8
952,4
953,3
954,5
955,24
956,0
957,25
958,14
959,0
960,1
961,18
962,2
963,7
964,8
965,24
966,2
967,16
968,0
969,25
970,24
971,0
972,18
973,8
974,7
975,23
976,11
977,22
978,24
979,17
980,4
981,11
982,22
983,15
984,11
985,19
986,26
987,8
988,24
989,17
990,0
991,23
992,11
993,24
994,2
995,17
996,23
997,2
998,11
999,24
1000,16
1001,14
1002,0
1003,11
